治家	12:2;23:1;7:1
关了	16:1;31:1;5:1
关了门	31:1;5:1
关住	21:1;9:1
关切	1:2;11:2;2:2;10:1;17:1;21:1;25:1;30:1;4:1;8:1
关到	23:1;31:1
关口	1:1;17:1;20:1
关在	2:2;23:2;18:1;20:1;3:1;9:1
关头	31:6;2:4;10:2;1:1;19:1;22:1;29:1;32:1;6:1
关得	9:1
关心	0:5;4:3;7:3;1:2;11:2;13:2;2:2;22:2;24:2;3:2;31:2;19:1;20:1;23:1;27:1;29:1;32:1
关怀	24:2;8:2;17:1;27:1;31:1
关注	28:1
关涉	16:1
关照	14:2;11:1;17:1;20:1;23:1;6:1
关着	24:1
关禁	25:2;7:2;4:1
关系	3:9;24:8;0:7;1:7;20:7;12:6;15:6;21:6;23:6;4:6;7:6;11:5;10:4;14:4;16:4;19:3;2:3;26:3;27:3;29:3;30:3;6:3;13:2;18:2;25:2;28:2;5:2;31:14;17:1;32:1
关紧	31:2;1:1;16:1;24:1;6:1;9:1
关节	27:1;31:1
关起	16:1;4:1;8:1
关起门来	16:1;4:1;8:1
关进	24:6;25:5;31:4;3:1
关进牢	31:1
关连	27:1
关锁	1:1
关键	1:1;25:1
关闭	28:2;31:2;10:1;22:1;5:1
兴	13:1;2:1
兴亡	31:1
兴兵	31:3;7:2;25:1
兴味	1:1;7:1
兴哀	12:1
兴奋	26:2;1:1;12:1;2:1;20:1;21:1;28:1;32:1;5:1
兴奋剂	5:1
兴师	31:4;10:1;20:1;27:1;29:1;8:1
兴师动众	31:4;27:1
兴师问罪	20:1
兴建	31:1
兴旺	31:3;17:1
兴来	25:1
兴致	19:3;22:2;26:2;4:2;6:2;8:2;9:2;1:1;12:1;13:1;14:1;15:1;24:1;25:1;27:1;3:1;32:1;5:1;7:1
兴致勃勃	25:1
兴起	28:3;1:2;10:2;4:2;16:1;20:1;31:1
兴趣	7:5;14:1;16:1;21:1;26:1;28:1;3:1;31:1;8:1
兴阑人散	8:1
兴隆	24:1
兴雷作	23:1
兴风作浪	31:1
兴高彩烈	22:1;8:1
兴高采烈	1:1;10:1;17:1;21:1;25:1;26:1;7:1
兵	22:4;1:3;17:3;31:3;12:1;21:1;26:1;3:1;8:1
兵丁	17:2;31:14;1:1
兵上	2:1
兵不血刃	27:1
兵临	2:1;22:1
兵临城下	22:1
兵书	17:1
兵刃	13:1;29:1;3:1
兵力	31:9;17:5;25:4;10:1
兵卒	25:1;32:1
兵员	1:1;12:1
兵器	31:6;20:2;29:2;21:1;27:1
兵团	25:2
兵士	13:9;27:8;10:75;7:7;12:6;21:6;3:51;31:51;29:4;2:25;1:20;17:20;23:2;30:2;5:2;32:14;20:10;22:10;18:1;19:1;25:1;4:1;6:1;8:1
兵家	31:1
兵役	1:3;17:1
兵戎	10:2;1:1;31:1
兵戎相见	10:2;1:1;31:1
兵权	26:1
兵法	17:4;21:1
兵祸	12:1
兵荒马乱	17:1
兵连祸结	3:1
兵队	12:1
兵额	12:1
兵马	31:9;25:1;32:1
其下	28:1
其为	16:1;19:1
其主必	13:1
其事	1:2;30:2;16:1;24:1;25:1;26:1;3:1;5:1
其人	11:2;14:2;23:2;27:2;31:2;26:10;16:1;17:1;20:1;25:1;3:1
其仆	13:1
其他人	24:1;31:1;9:1
其份	14:1
其像	15:1
其内	1:1;10:1;14:1;25:1
其利	10:1
其势	7:1
其吁告	29:1
其名	11:1
其后	15:3;28:2;22:1;25:1;29:1
其味	21:1
其地	24:1
其声	19:1
其处	15:1
其头	20:1
其女	29:1;7:1
其妻	12:1;15:1;3:1
其子	4:2;2:1;6:1
其实	31:8;25:7;11:5;12:5;8:5;17:4;23:4;30:4;1:3;10:3;24:3;26:3;27:3;6:3;13:2;14:2;16:2;20:2;21:2;32:2;15:1;19:1;2:1;28:1;4:1;9:1
其寒	16:1
其平	22:1
其弟	16:1;7:1
其形	25:1
其情	19:2
其惠	19:1
其意	17:1
其愚	3:1
其手	28:1
其敬	4:1
其时	1:1;19:1;4:1;8:1
其殃	18:1
其母	7:1
其毒	12:1
其火	31:1
其父	2:1;5:1
其牙	16:1
其状	19:2
其瓶	28:1
其痴劲	16:1
其目	3:1
其知	19:1
其确	12:1
其端	4:1
其罪	27:1
其职	17:1
其舌	29:1
其苦	4:1
其行	12:1
其详	2:1
其远	31:1
其速	6:1
其间	4:1
其霉	1:1;13:1;15:1
其面	3:1
其马	5:1
具	25:2;12:1
具体	17:4;10:1;23:1
具体意见	17:2
具体而微	17:2
具保	27:1
具备	17:2;19:2;24:2;8:2;1:1;10:1;11:1;3:1;7:1
具文	23:1
具有	31:7;17:3;15:2;20:2;22:2;24:2;0:1;10:1;16:1;19:1;2:1;28:1
具来	25:1
具结	7:1
典	11:1
典型	7:1;8:1
典押	31:1
典故	6:1
典狱	1:2
典狱长	1:2
典礼	31:4;24:3;1:2;0:1;15:1;25:1;27:1;3:1
典籍	8:1
典质	11:1
典雅	16:1;19:1
兹	16:1;31:1
养	20:3;21:3;0:2;1:2;13:2;23:2;31:2;7:2;11:1;26:1;3:1;30:1;4:1;5:1
养一	1:1
养下	13:1
养不出	24:1
养养	12:1
养出	17:1;24:1;31:1
养到	8:1
养大	30:1;8:1
养女	3:1
养家	6:1
养得	16:1;20:1;8:1
养志	14:1
养息	11:1;3:1;4:1
养成	21:2;12:1;2:1;7:1
养活	13:2;10:1;3:1;31:1
养猪	25:1
养病	31:1
养着	1:1;16:1
养老	16:1
养肥	4:1
养育	10:2;29:2;19:1;28:1;8:1
养起	4:1
养身	17:1
养过	11:1
养逆	7:1
兼	31:3;24:2;9:2;18:1;2:1;23:1;25:1
兼任	31:2
兼作	0:1
兼充	23:1
兼利	2:1
兼及	12:1
兼古德立	31:1
兼备	12:1;24:1
兼并	17:1
兼收	27:1
兼有	7:1
兼瓦虚福及	31:1
兼白	31:1
兼程	1:2;10:1;25:1;31:1
兼程前进	10:1;31:1
兼而有之	21:1
兼联捷	31:1
兼舍菲	31:1
兼领	22:1;24:1;27:1;31:1
兽	25:4;21:1;31:1
兽心	31:1
兽性	1:1;13:1
兽欲	13:1;16:1;23:1;6:1;7:1
兽类	13:1
兽行	1:1
内一	31:1
内乱	10:1;20:1;22:1;32:1
内人	9:1
内伤	1:1
内侄	5:1
内侍	1:4
内到	23:1;25:1
内助	10:1
内厅	3:1
内后	10:1
内吹退	20:1
内呼	5:1
内在	27:2
内地	1:1
内声	24:2
内外	13:1;18:1;31:1
内奏	12:1;31:1
内室	24:2;25:2;31:1
内宫	24:2
内容	17:4;1:2;12:2;11:1;19:1;24:1;27:1;5:1
内尔	17:7
内幕	23:1;31:1
内干	30:1
内应	3:1
内府	27:1
内廷	27:1
内心	25:5;31:4;6:4;7:4;11:3;12:3;21:3;26:3;1:2;23:2;27:2;5:2;10:1;22:1;28:1;29:1;30:1;32:1;8:1
内情	8:1
内战	31:5;1:2;17:1
内满	13:1
内疚	19:1
内白	31:1
内脏	3:1;32:1
内行	24:1
内衣	12:1;31:1
内讧	12:1;2:1;31:1
内起	10:1;3:1;31:1
内部	1:4;30:2;31:2;20:1;27:1;7:1
冈	30:2;0:1
册子	1:1;24:1;30:1
册封	22:1;25:1
册籍	27:2;2:1
再三	21:2;23:2;13:1;25:1;26:1;30:1;6:1;8:1
再下	14:1;22:1;6:1
再不去	0:1;14:1
再世	6:3;8:1
再举	19:2
再也	19:9;22:8;27:8;12:7;13:7;20:7;26:7;32:7;7:7;29:6;18:5;24:5;25:5;30:5;2:4;5:4;8:4;15:3;16:3;21:3;31:23;1:22;0:2;9:2;10:15;6:11;17:1;23:1;28:1;3:1;4:1
再也不会	10:5;1:4;31:4;24:3;32:3;7:3;8:3;12:2;13:2;20:2;26:2;29:2;18:1;19:1;2:1;22:1;28:1;30:1;5:1;6:1
再也不能	31:6;15:1;18:1;20:1;22:1;29:1;4:1;6:1
再事	8:1
再享	12:1
再会	15:9;21:9;3:9;17:8;0:7;16:7;28:7;12:6;2:6;22:6;13:5;23:5;6:5;11:4;29:4;30:4;14:3;8:3;7:27;10:23;27:23;1:22;4:2;20:19;5:18;25:14;32:14;19:13;26:12;18:1;31:1
再住	4:1
再作	7:3;24:2;1:1;12:1;26:1;31:1;5:1
再作道理	1:1;20:1
再倍	6:1
再出	4:1
再到	27:1
再刻	27:1
再办	3:1
再加	0:1;16:1;4:1;6:1
再同	7:1
再响	20:1
再噜	18:1;28:1
再堆	8:1
再多	15:1;19:1;22:1;28:1;9:1
再多住	9:1
再多来	19:1
再多留	22:1
再多言	15:1
再多话	28:1
再大	31:1;5:1
再大些	14:1
再奏	12:1;26:1;27:1
再好	1:5;18:4;16:2;20:2;23:2;6:2;10:1;11:1;12:1;13:1;14:1;21:1;32:1;7:1;8:1
再好不过	18:1;6:1
再好没有	1:5;18:3;16:2;20:2;23:2;10:1;11:1;12:1;13:1;14:1;21:1;32:1;6:1;7:1;8:1
再娶	4:3;10:1;11:1
再婚	3:1
再嫁	7:3
再学	13:1
再害	1:1
再寄	0:1
再射	30:1
再射出	6:1
再少	31:1
再差	28:1
再度	25:2;31:2;1:1;2:1;24:1;3:1;8:1
再开	24:1;4:1
再引	15:1
再弹	25:1
再念	17:2;11:1;19:1;24:1;3:1;7:1
再怕	12:6
再拉着	6:1
再拿些	1:2;26:1
再振	2:1
再接	31:1;8:1
再接再厉	1:2;10:1;17:1
再放	16:1;32:1;9:1
再教	6:1
再敢	26:1;4:1
再敬莱必	10:1
再显	17:1
再来	13:4;16:3;18:3;26:3;0:2;1:2;23:2;3:2;31:2;12:1;14:1;17:1;19:1;24:1;25:1;29:1;30:1;5:1;6:1;7:1
再来一个	16:2;26:1
再次	24:3;17:1
再活	1:1;16:1;25:1;26:1;4:1
再涉	8:1
再添	17:1
再演	15:1
再烦	20:1;28:1
再版	18:1
再犯	19:1;5:1
再现	25:2;16:1
再生	13:1;31:1
再用	18:2;31:2;4:2;10:1;11:1;19:1;2:1;21:1;22:1;27:1;6:1
再留	4:1
再立	6:1
再絮渎	13:1
再编	1:1
再美	14:1
再能	16:1
再花	31:1
再莫恋	16:1
再行	27:1;30:1;31:1
再要	13:1;14:1;16:1;2:1;22:1;4:1
再见	16:9;21:9;24:8;5:8;0:7;15:7;11:6;13:6;4:6;10:4;14:4;17:3;25:3;32:3;19:2;22:2;26:2;9:2;31:19;18:14;3:13;1:12;23:12;2:11;30:11;6:11;12:1;20:1;28:1;7:1;8:1
再见面	15:1
再试	16:1;18:1
再试一下	7:1
再说下去	1:2;10:2;2:2;23:2;8:2;14:1;16:1;19:1;21:1;24:1;28:1;5:1
再读	1:1
再谈	22:2;26:2;3:2;11:1;12:1;14:1;19:1;20:1;31:1;6:1
再费	6:1
再赌	6:1
再赏	0:1;28:1
再赔	25:1
再起	18:1
再进	13:1;28:1
再进一步	12:1
再远	0:1
再造	8:1
再造之恩	8:1
再长	19:1;21:1;4:1
再降	13:1
冒充	23:3;14:2;3:2;31:2;16:1;18:1;30:1;7:1;8:1
冒冒	1:1;18:1;26:1
冒冒失失	1:1;18:1;26:1
冒名	9:1
冒名顶替	9:1
冒多大	12:1
冒失	1:1;18:1;26:1;30:1
冒头	31:1
冒昧	14:4;3:4;8:3;18:2;24:2;26:2;7:2;10:1;16:1;21:1;22:1;23:1;25:1;31:1;32:1;5:1
冒死	9:1
冒渎	1:1;28:1;32:1;6:1
冒火	18:1;9:1
冒烟	12:1;3:1
冒牌	14:5;1:1;11:1;12:1;15:1;3:1;4:1
冒牌货	3:1
冒犯	26:3;5:3;17:2;2:2;20:2;25:2;4:2;0:1;1:1;14:1;16:1;18:1;23:1;24:1;30:1;31:1;6:1
冒用	1:1
冒着危险	0:2
冒血	21:1
冒认	30:1
冒进	24:1
冒险	1:5;2:3;24:3;31:3;11:2;16:2;5:2;6:2;7:2;0:1;12:1;15:1;23:1;25:1;26:1;3:1;32:1
冒雨	17:1;20:1
冕	24:2
冕安	31:1
冕服	27:1
冗烦	5:1
冗长	15:4;12:1;27:1;6:1;7:1
写	12:9;16:9;17:9;7:8;18:7;24:6;27:6;29:6;3:6;5:5;10:4;13:4;15:4;22:3;26:3;32:3;11:29;2:2;4:2;0:19;19:15;31:14;1:13;20:12;30:10;6:10;14:1;21:1;23:1;25:1;8:1;9:1
写下	30:8;29:4;18:2;19:2;31:2;6:2;7:2;1:1;11:1;15:1;17:1;20:1;21:1;27:1;3:1;32:1
写下去	3:1
写些	0:1;1:1;13:1;16:1;19:1;29:1;3:1;30:1;7:1
写会念	31:1
写信	12:5;30:4;10:3;11:3;20:3;3:3;31:3;32:3;1:2;23:2;5:2;18:1;29:1;4:1
写信给	30:4;11:2;20:2;23:2;3:2;5:2;12:1;4:1
写出	31:2;20:1
写字	30:3;29:2;0:1;12:1;5:1;7:1
写封信	31:1
写得	0:2;19:1
写惯	30:1
写成	1:2;13:1;15:1;19:1;31:1;5:1;7:1
写文章	12:1;16:1
写明	12:3;24:2;1:1;11:1;5:1;6:1
写来	1:1;20:1;21:1
写法	16:1;6:1;7:1
写满	19:2;1:1;30:1
写给	31:4;2:3;24:3;10:2;11:2;20:2;3:2;0:1;16:1;18:1;19:1;21:1;29:1;32:1;6:1;7:1
写诗	18:1;19:1
写过	4:1
写错	14:2
军	22:5;31:5;1:1;12:1;13:1;17:1;21:1;25:1;3:1;30:1
军中	21:5;2:2;22:2;1:1;10:1;20:1;25:1;3:1
军乐	1:1;7:1
军事	3:5;31:3;10:1;17:1;2:1;26:1
军人	31:9;1:8;10:8;26:8;17:7;3:6;32:6;7:5;18:4;30:4;19:3;21:3;22:3;12:2;13:2;16:2;29:2;8:2;2:10;0:1;11:1;20:1;23:1;4:1
军令	21:1
军剑赏	31:1
军力	27:4;10:2;2:2;1:13;13:1;20:1;21:1;31:1
军功	1:2;0:1;10:1;26:1;31:1
军务	20:1
军医	17:1;21:1;22:1;26:1
军号	31:7;20:1;22:1;25:1;32:1
军团	12:2;10:1
军士	17:1;31:1
军备	17:1
军威	12:1
军官	1:5;3:5;31:4;27:2;7:2;26:19;20:18;10:1;12:1;2:1;29:1;30:1
军容	1:2;22:1;27:1;8:1
军容严整	1:1
军心	1:1;12:1;20:1;27:1;31:1;32:1
军心涣散	12:1;31:1
军情	31:2;1:1;10:1;12:1
军政	26:1
军旅	11:1;31:1
军旗	17:3;31:1;32:1
军械	31:6
军棍	1:1
军民	21:1;26:1;7:1
军法	17:4
军爷	17:2;1:1
军界	17:1
军粮	30:1
军纪	26:1
军职	1:1
军舰	17:1
军营	3:4;17:3;10:2;12:2;20:2;1:1
军衣	1:1;17:1
军装	31:1
军誉	21:1
军费	31:2;27:1
军队	22:7;31:64;3:6;7:6;21:5;25:4;29:4;1:39;2:22;20:20;32:20;13:2;26:2;17:18;27:13;10:12;12:12;19:1;24:1;30:1;8:1
军需	27:1;32:1
军饷	31:3;17:1;27:1
军马	12:1
军鼓	31:1
农	21:4
农三哩	9:1
农上	1:4;21:1
农下	1:1
农两人	1:1
农为	21:1
农之弟	21:1
农事	28:1
农人	9:2;19:1;32:1
农及	31:3
农同	1:1
农场	17:1;20:1;4:1
农外	31:1
农夫	15:2;10:1;14:1;16:1;2:1;20:1;21:1;7:1
农帐	21:2
农打	21:1
农是	21:2
农来	9:1
农民	12:1;17:1;20:1;31:1
农特予	21:1
农田	25:1
农立	21:1
农舍	20:1
农说	21:1
冠	24:4;31:2;7:2;20:1;32:1
冠上	21:1
冠中	28:1
冠冕	14:4;25:3;10:2;28:2;23:1;27:1;31:1
冠冕堂皇	14:2;31:1
冠子	14:1
冠帽	16:1
冠服	10:1
冠词	18:2
冤	23:3;12:1;29:1;30:1;6:1
冤人	9:1
冤仇	25:3;0:1;29:1;31:1;5:1
冤冤相报	29:1;31:1
冤大头	18:1;23:1
冤孽	5:1
冤家	18:2;0:1;14:1;15:1;25:1;30:1;5:1
冤家对头	14:1;30:1
冤屈	25:3;27:2;1:1;2:1;20:1;23:1;29:1;31:1;9:1
冤情	29:1
冤愤	2:1
冤无恨	5:1
冤有头	7:1
冤杀	25:1;27:1
冤枉	30:9;26:7;9:5;31:4;0:2;1:2;23:2;32:2;6:2;10:1;11:1;12:1;18:1;20:1;24:1;3:1
冤死	25:3
冤气	18:1
冤狱	25:1
冤苦	13:1
冤莫诉	13:1
冤遭	29:1
冤魂	32:3;25:2;27:1
冥	18:1;20:1;29:1
冥冥	7:2;8:2;12:1;20:1;26:1;27:1
冥冥中	7:2;12:1;26:1;27:1;8:1
冥冥之中	20:1
冥国	29:1
冥域	28:1
冥府	25:2;21:1
冥想	24:2
冥河	21:3;15:1;22:1;29:1
冥漠	1:1
冥王	29:1
冥顽	32:2;0:1;1:1;11:1;13:1;18:1;19:1;23:1;27:1;3:1;5:1;7:1
冥顽不灵	0:1;11:1;13:1;18:1;23:1;27:1;3:1;32:1;7:1
冬	1:1;13:1
冬之歌	19:1
冬令	25:1
冬天	4:7;31:5;16:3;13:2;14:2;19:2;20:2;27:2;28:2;10:1;12:1;18:1;22:1;23:1;24:1;26:1;29:1;30:1;32:1;6:1;9:1
冬季	15:2;17:1
冬日	24:1
冬烘	19:2
冬瓜	18:1;26:1
冬神	15:1
冬青	16:4
冬风	13:1;16:1
冰	3:2;14:1;15:1;23:1;24:1;25:1;31:1;7:1
冰上	2:1;7:1
冰冠	15:1
冰冰	1:2;14:2;3:2;10:1;11:1;12:1;13:1;16:1;20:1;24:1;25:1;31:1;4:1;8:1
冰冷	31:3;1:1;10:1;14:1;20:1;21:1;23:1;24:1;26:1;29:1;5:1;6:1;9:1
冰冻	13:1;14:1;19:1
冰凉	25:1
冰块	17:1;21:1
冰天	27:1;31:1
冰天雪地	27:1;31:1
冰山	23:1;6:1
冰柱	0:1;17:1;19:1;2:1
冰泉	26:1
冰消瓦解	13:1
冰清玉洁	23:2;18:1
冰湖	1:1
冰炭	13:1;6:1
冰箱	12:1
冰送	29:1
冰雪	16:2;19:2;1:1;11:1;13:1;23:1;27:1;28:1;29:1;5:1
冰雹	10:2;15:1;18:1
冰霜	21:2;16:1;3:1;30:1
冱	16:1
冲上	17:1;31:1;4:1
冲上去	1:1;17:1;3:1;32:1
冲上来	8:1
冲下	17:1
冲下去	17:1
冲不进	17:1
冲冲	31:2;12:1;24:1;32:1
冲决	22:1;7:1
冲出	17:2;31:2;1:1;22:1
冲出去	17:2;31:1
冲出重围	31:1
冲击	13:1;17:1;20:1;24:1;31:1
冲到	31:2;12:1;15:1
冲刺	1:1
冲动	26:4;1:3;12:3;23:3;7:2;16:1;19:1;22:1
冲去	17:2;31:1
冲口	12:1;16:1
冲口而出	12:1
冲向	17:2;3:1;31:1
冲天	17:2;27:2;0:1;21:1;32:1
冲开	31:1
冲得	21:1;5:1
冲成	27:1
冲打	28:1
冲掉	17:1;2:1
冲撞	29:1;5:1
冲散	26:2;25:1;9:1
冲昏	17:1;31:1
冲杀	1:1;10:1;12:1;25:1;31:1
冲来	17:1;31:1
冲来冲去	17:1;31:1
冲毁	8:1
冲洗	17:2;19:1;29:1;31:1;8:1
冲淡	26:1
冲激	1:1;32:1
冲着	17:1;22:1
冲破	12:1;13:1;17:1;21:1;26:1;28:1;7:1
冲突	20:4;1:3;10:3;17:1;22:1;26:1;6:1
冲荡	8:1
冲走	31:1
冲过	1:2;17:1;21:1;31:1
冲过去	1:2;31:1
冲过来	17:1;21:1
冲进	31:1
冲锋	17:4;31:4;21:2;20:1;25:1;26:1;3:1;32:1
冲锋陷阵	17:1;21:1;25:1;26:1;3:1;31:1
冲风冒雨	20:1
冲龄	31:2
决	31:7;2:2;25:2;28:2;11:1;13:1;16:1;21:1;30:1;4:1;8:1
决一	21:1;27:1
决一死战	31:1
决一胜负	2:1;31:1
决一雌雄	27:1
决不	6:9;19:8;4:8;14:7;21:7;8:7;31:60;0:6;15:6;16:6;32:6;11:5;18:5;22:5;5:5;28:4;1:23;10:23;17:21;9:2;27:17;20:15;7:15;24:14;3:14;2:13;26:13;29:13;30:13;12:12;25:12;23:11;13:1
决不会	26:8;3:8;30:8;27:7;31:7;17:5;29:5;6:5;7:5;16:4;22:4;23:4;0:3;2:3;24:3;28:3;32:3;4:3;8:3;15:2;19:2;21:2;25:2;1:11;10:10;12:10;20:10;11:1;13:1;18:1;5:1;9:1
决不允许	2:1;31:1
决不再	14:2;25:2;1:1;10:1;17:1;18:1;24:1;3:1;31:1
决不反悔	17:1;30:1
决不可	25:1
决不宽贷	24:1;27:1
决不罢休	17:1;18:1;31:1
决不能	25:2;27:2;7:2;31:12;1:1;10:1;17:1;19:1;21:1;24:1;28:1;9:1
决不食言	1:1;19:1;2:1
决个	25:1
决定	17:8;20:7;21:7;6:7;1:6;22:6;24:6;3:6;32:6;7:6;11:5;26:5;8:5;14:4;19:4;5:4;23:3;27:3;29:3;0:2;15:2;30:2;31:17;2:15;25:13;10:11;12:1;28:1;4:1;9:1
决心	7:7;10:6;29:6;32:6;2:5;30:5;22:4;3:4;0:3;12:3;20:3;21:3;23:3;26:3;27:3;6:3;1:2;14:2;18:2;5:2;31:16;19:1;24:1;25:1
决意	10:3;22:2;8:2;12:1;18:1;20:1;25:1
决战	10:7;21:7;1:3;31:2;2:1;27:1;32:1
决斗	10:5;20:5;9:4;30:3;0:2;15:2;24:2;5:2;7:2;31:15;27:11;1:1;12:1;13:1;16:1;17:1;18:1;19:1;4:1
决斗者	27:1
决断	31:1
决无	19:1;2:1;26:1;3:1
决注	2:1
决策	17:1;2:1;21:1
决胜	10:1;20:1;21:1;25:1
决胜负	10:1;20:1;21:1;25:1
决裂	27:1;29:1;7:1
决计	17:1
决议	24:2;31:1
决赛	27:1
决难	25:1;31:1
决雌雄	12:1;21:1
决非	3:2;2:1
冶炼	3:1
冷	1:3;12:3;20:3;9:3;13:2;14:2;16:1;17:1;18:1;21:1;23:1;25:1;27:1;29:1;3:1;30:1;31:1;32:1;4:1;6:1;7:1
冷下来	1:1;21:1
冷不防	31:2;5:1
冷僻	31:1
冷冰冰	1:2;14:2;3:2;10:1;11:1;12:1;13:1;16:1;20:1;24:1;25:1;31:1;4:1;8:1
冷冷	10:1;17:1;19:1
冷冷淡淡	10:1
冷冷清清	19:1
冷冷的	17:1
冷却	31:2;6:2;1:1;10:1;29:1;4:1
冷嘲	30:2;1:1;19:1;2:1;25:1;26:1
冷嘲热讽	30:2;2:1;26:1
冷嘲热骂	1:1;19:1
冷得	12:1;13:1;14:1;16:1;17:1;18:1
冷掉	4:1
冷月	15:1
冷气	14:1;20:1;22:1;25:1
冷水	31:2;13:1;5:1;8:1
冷汗	22:1;29:1;32:1
冷洁	15:1;28:1
冷淡	11:4;20:4;21:4;0:3;1:3;10:3;27:3;12:2;13:2;2:2;23:2;3:2;32:2;7:2;15:1;16:1;19:1;22:1;25:1;28:1;29:1;4:1;9:1
冷清	19:1
冷清清	19:1
冷灰里	10:1
冷然	0:1;4:1
冷眼	1:2;10:2;20:2;21:2;13:1;23:1;7:1
冷眼旁观	23:1
冷着	20:5
冷笑	2:1;20:1
冷箭	11:1;31:1
冷粥	28:1
冷肉	12:1
冷脸	25:1
冷若冰霜	3:1
冷菜	2:1
冷落	13:1;25:1;3:1
冷血	1:2;17:2;27:1;31:1;4:1
冷酷	20:6;10:5;13:5;27:5;12:3;29:3;6:3;1:2;11:2;2:2;25:2;30:2;7:2;9:2;0:1;19:1;22:1;23:1;26:1;3:1;31:1;32:1
冷酷无情	13:5;12:2;20:2;10:1;11:1;19:1;2:1;22:1;25:1;26:1;29:1;3:1;31:1;32:1;6:1;9:1
冷静	1:3;31:3;10:2;12:2;30:2;6:2;15:1;2:1;22:1;26:1;4:1;9:1
冷静下来	12:1
冷风	20:1;9:1
冷饭	14:1
冷骨	25:1
冻	24:1
冻住	17:1;25:1
冻卧	25:1
冻坏	16:1
冻得	1:1;19:1
冻成	23:1;24:1
冻死	14:1;6:1;8:1
冻疮	18:1;28:1;7:1
冻结	14:3;28:2;1:1;13:1;17:1;5:1;8:1
净	0:1;1:1;10:1;11:1;17:1;30:1
净化	5:1;7:1
净尽	1:1;14:1
净手	14:1
凄	15:1;27:1
凄凉	5:4;29:2;7:2;8:2;0:1;1:1;12:1;13:1;15:1;16:1;19:1;25:1;3:1
凄切	8:1
凄厉	22:3;5:2;17:1;31:1;32:1
凄恻	10:1;11:1;24:1
凄惨	5:3;20:2;26:2;29:2;11:1;28:1;31:1;4:1;7:1;9:1
凄惶	8:1
凄清	5:1
凄然	21:1;31:1
凄苦	22:1
凄风	1:1;15:1
凄风苦雨	1:1
准	31:4;9:4;11:3;17:3;3:3;19:2;4:2;0:1;1:1;12:1;28:1;6:1
准他	31:1
准会	1:3;17:3;3:3;20:1;23:1;25:1;27:1;30:1;4:1
准保	1:2;19:1;9:1
准叫	1:1
准可	11:1
准备	15:9;29:7;32:7;8:7;21:6;19:5;30:5;5:5;20:4;16:3;17:21;2:20;11:2;13:2;14:2;26:2;28:2;4:2;6:19;27:16;31:16;1:14;7:13;10:12;12:12;25:12;22:11;23:11;24:11;0:1;18:1;9:1
准如	3:1
准得	1:1;14:1;9:1
准得害	19:1
准成	11:1
准时	30:2;31:1;7:1
准时出席	30:1
准是	1:3;12:2;11:1;14:1;3:1;5:1;7:1;9:1
准有	11:1
准来	31:2
准比	9:1
准确	19:1;22:1;25:1;8:1
准确无误	19:1
准要	4:2;1:1;2:1;21:1;26:1;30:1
准许	3:6;10:5;16:4;2:4;23:4;8:4;0:3;1:3;12:2;14:2;27:2;31:2;32:2;6:2;9:2;17:1;19:1;20:1;25:1;30:1;4:1;5:1
准败	31:1
准难	15:1
凉	10:1;17:1;19:1;21:1;23:1;28:1
凉亭	30:4;1:1
凉快	10:1;18:1;20:1
凉气	8:1
凉薄	13:1
凉露	12:1
凉风	29:1
凋	32:1
凋谢	24:1
凌乱	27:2;29:1;31:1
凌乱不堪	31:1
凌云	27:1
凌夷	3:1
凌然	2:1
凌空	13:1;17:1;21:1;27:1
凌虐	20:2;12:1;13:1;16:1
凌越	2:1;32:1
凌辱	10:3;1:2;20:2;27:2;31:2;13:1;25:1;29:1;4:1;5:1;7:1
凌迟	31:1
凌霄	10:1;2:1
凌风	5:1;6:1
凌风而行	15:1
凌驾	31:1
凌驾于	31:1
减	32:1
减为	25:1
减二	12:1
减低	10:1;6:1;8:1
减削	22:1
减去	2:1;21:1;27:1;31:1
减处	6:1
减少	12:1;15:1;17:1;20:1;4:1
减弱	24:1;27:1
减成	5:1
减掉	3:1
减省	1:1
减罪	23:1
减色	10:3;14:1;17:1;7:1
减轻	12:3;31:2;13:1;2:1;26:1;27:1;28:1;29:1;4:1;5:1;6:1
减退	0:1
减除	19:1
凑	15:1;16:1;17:1;2:1;21:1;26:1;6:1;8:1
凑个	25:1
凑合	23:2;26:1
凑合着	23:2;26:1
凑后	15:1
凑在一起	17:1
凑巧	25:2;7:2;0:1;1:1;11:1;13:1;14:1;17:1;2:1;4:1;9:1
凑成	0:2;17:2;19:2;31:1
凑热闹	2:1;21:1;26:1
凑足	6:1;9:1
凑集	12:1
凑韵	16:1;19:1
凛	23:1
凛于	7:1
凛冽	12:1;13:1;16:1;27:1;28:1;31:1;6:1;7:1
凛凛	17:2;0:1;28:1;31:1;7:1
凛然	1:1;13:1;16:1;23:1;6:1
凛若	26:1
凛若冰霜	16:1;21:1
凝	22:1
凝冷	22:1
凝冻	11:1;2:1;7:1;9:1
凝到	31:1
凝口	25:1
凝成	17:1
凝望	15:1
凝止	29:1
凝结	22:2;7:2;19:1;31:1
凝聚	31:1
凝视	4:2;8:2;31:1;6:1
凝视着	4:1;8:1
凝集	12:1
几丈	26:1
几下	14:2;17:2;31:2;12:1;20:1;25:1;32:1
几下子	17:1
