猜猜	23,31
做定	18
做工	8,31
做床	6
做惯	7
做成	3,7,12,14,16,26,31
做手	6,29
做手势	6,29
做摩	31
做条	26
做梦	0,1,4,5,6,7,9,10,12,14,15,16,17,18,21,25,26,29,30,31,32
做法	4,6,10,31
做活	16,20
做爱	5
做生意	17
做菜	5
做行	31
做要	2
做贼	1,13,18
做贼心虚	18,31
做起	0,1,6,9,12,14,16,22,26,30
做过	1,2,4,10,14,18,22,25,29,30,31,32
做针线	2,17,32
做错	4,7,9,26,29
停	1,2,5,6,8,12,15,25,28,31
停一停	17,31
停下	1,6,15,25,31
停下来	1,6,31
停住	0,5,7,16,20,24,25,27,30,31
停工	1
停当	6,7,17,31
停往	5
停止	1,2,5,6,7,8,10,11,12,13,16,18,19,20,21,24,25,26,27,29,30,31
停步	6,15,16,32
停泊	14,28
停滞	14,21
停留	1,2,7,9,10,11,13,14,15,19,21,24,25,29,31,32
停蹄	27
停靠	8,14
停靠在	14
停顿	1,5,17,21,24,32
停驻	30
健	31
健儿	1,2,3,6,10,12,17,21,32
健全	0,2,4,7,20,21,26
健在	3,23,26
健壮	3,4,16,24,31
健康	0,1,2,3,4,5,7,8,10,12,13,14,15,19,20,21,22,23,24,25,26,27,32
健康活泼	7
健忘	1,2,7,13,19,24,25
健旺	22
健硕	7
偶	7
偶人	10
偶像	4,5,7,11,15,17,19,21,32
偶像崇拜	19
偶尔	6,25,31
偶或	27
偶然	0,1,2,4,7,9,10,12,13,14,19,21,22,23,26,28,30,31,32
偶熊	31
偷	1,3,4,6,7,10,11,12,13,14,15,16,17,18,19,21,22,25,26,28,29,30,31
偷下	30
偷下来	30
偷东西	4,17,18,20
偷偷	1,2,3,5,7,9,12,15,17,18,22,23,24,26,29,30,31,32
偷偷地	1,3,5,9,12,15,17,22,24,26,29,30,32
偷偷摸摸	3,7,18,23,24,31
偷儿	1,12,13,18,19,20,22,26
偷光	32
偷出	12,26,30
偷出来	12,26,30
偷到	21
偷去	6,9,10,20,30
偷取	5,8,9,15,30,32
偷吃	17,23,31
偷听	5,7,15,16
偷吻	11
偷天换日	7,11
偷情	7
偷懒	2,13,20
偷换	25
偷摸	3,7,18,23,24,31
偷来	1,12,13,18,26
偷模	4
偷汉子	1,10,18,31
偷渡	9
偷溜	3
偷生	2,4,10,13,17,25,26,29,31,32
偷盗	1,12,23
偷看	13,29
偷窃	1,2,6,12,13,18,20,21,23,26,27,31
偷营	31
偷走	0,1,3,10,11,12,18,28,32
偷起	1
偷跑	25
偷过	17,18
偷进	20,29
偷铸	23
偷闲	7
偷鹅	18
偾	2,3
偿	4,5,32
偿付	1
偿债	19
偿命	23
偿欠	12
偿款	19
偿还	1,6,12,13,17,19,25,31
傀儡	7,20,28,31
傀儡戏	7,28
傍晚	20,24
储	4
储君	1,4,22,28
催	1,2,5,6,7,9,14,17,20,21,29
催人	7,22
催促	2,5,9,10,17,20,25
催召	1
催命	19,21,27
催命鬼	19
催唤	10
催眠	4,15,22,26,29,32
催着	1
催老	19
催花	10
催蒙乔	17
催讨	9,12
催逼	13
催醒	5,29
傲慢	1,2,3,6,7,10,12,13,16,19,20,21,24,25,26,27,29,30,31
傲慢不逊	2,6,21
傲慢无礼	31
傲气	14,16,21,24,25
傲视	0,7
傲语	16
傲起来	11
傲骨	25
傻	0,1,3,4,5,6,9,11,12,15,16,18,20,21,22,23,26,27,29,30
傻丫头	3,4,5,11,12,21,28
傻事	0,4,6,12,16
傻劲	7,30
傻劲儿	30
傻大少	3
傻头傻脑	13,14,16,22
傻子	0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,25,26,28,29,30,31
傻小子	4,20,30
傻得	0,25
傻气	0,6,7,13,16,18,21,32
傻法	14
傻泪	25
傻瓜	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,25,26,27,28,29,30,32
傻话	0,4,12,16,17,20
傻长	16
像不像	1,4,6,16,18,19,20
像克洛顿	12
像勃	32
像头	17
像害	7
像春朝	1
像是	0,1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,18,19,21,22,23,24,26,27,28,30,31,32
像样	1,4,14,15,17,20
像海	5
像织	30
僚佐	2
僚属	17,31
僧	24,27
僧人	24
僧侣	12,17,23,24,31
僧团	24
僧帽	24
僧服	23
僧院	24,25
僭	0,3,6,7,8,10,25,27,28,31
僮	24
僵	17
僵住	26
僵冷	29
僵卧	29
僵固	4
僵尸	24
僵局	31
僵硬	5,8,12,20,25,29,31
僻壤	16,31
僻远	2,7
僻野	19,29
僻静	8,19,27,29,30,31
儆	19
儆戒	5
儒雅	19
儿上	30
儿今	3
儿们	12,20
儿倒	6
儿像	14
儿入	17
儿勃	3
儿化	28
儿升	15
儿去	16
儿向	30
儿咏	15
儿太	30
儿太会	20
儿女	2,3,4,5,6,8,10,11,12,15,17,18,20,22,23,25,26,27,28,29,30,31
儿媳	1
儿子	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32
儿孙	25,27
儿孙满堂	25
儿戏	1,3,8,17,21,22,23,31,32
儿手	16,17,20
儿时	4
儿杀	15
儿来	1,3,16,17,20,30
儿款	16
儿漏	20
儿留	16
儿眠	16
儿神	17
儿童	1,2,5,6,18,19,25,27,31
儿粉	15
儿缮	12
儿要	12
儿辈时	25
儿郎	11,18,20,30,31
儿里	19
儿长	28
儿间	26
儿飞	20
兀	31
兀立	7,21
兀自	23
允	7
允于	3
允从	19
允免	25
允准	5,7,31
允许	0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,31,32
允诺	1,2,5,8,13,19,24,31
元	27
元始	7
元宝	15
元帅	2,10,17,18,20,21,26,31
元气	2,20,21
元素	17
元老	2,10,12,13,17,26,29,32
元老院	2,12,13,26,29,32
元首	4,17,19,29
兄	12
兄妹	0
兄妹俩	0
兄弟	0,1,2,3,4,5,6,7,9,10,11,12,13,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32
兄弟两人	12,30
兄弟二人	31
兄弟俩	30
兄弟阋于墙	25
兄弟阋墙	25
兄长	3,10,12,15,16,20,25,28,29,30,31
充	0,1,3,5,26
充一	12
充了	6,31
充他	19
充任	1,11,17,19,31
充作	10,11,15,16,20,27
充入	22
充公	6,17,31
充其量	8
充军	31
充分	0,1,2,3,4,5,6,7,8,9,10,12,13,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32
充分证明	0,30
充分说明	8,20
充塞	1,8,12,13,29
充塞着	13
充填	21
充实	5,12,17,19,25,27,32
充庞贝	19
充当	4,10,13,14,19,25,27,31
充数	2,3,10,23
充斥	2,27
充沛	2,24
充溢	5,27
充满	0,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
充满热情	19
充耳	12
充耳不闻	2,5,21,27
充血	7
充裕	27
充足	1,16,19,26
充饥	10,12,13,31
兆头	31
先	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
先上	18
先上去	18
先下	31
先世	12
先人	12,27,31
先令	0,1,4,17,18,19,24,30,31
先休	31
先作	7
先使	12
先例	12,23,24
先兄	24
先入为主	2
先养	6
先别	23,24
先到	1,2,4,6,10,14,18,20,21,22,25,26,27,30
先前	4,6,10,14,17,31
先动	17
先医	31
先去	0,4,7,13,14,18,20,22,23,25,30
先发制人	32
先发发	4
先叫	1,9,18
先吃个	19
先后	4,7,13,21,22,25,31
先向	3,23,24
先君	25
先哲	19
先喝	8
先回到	9,12
先回去	1,5,6
先声	10,32
先声夺人	10,32
先天	5
先夫	3,25
先嫁	25
先容	13
先尝	27
先带	21
先干	8
先应	23
先得	17,19,24,30
先得存	17
先志	3
先念	24
先拉上	3
先接个	16
先搁	29
先教	6,14,27
先是	4,9,24
先替	22,26
先有	14
先杀	17
先来	0,6,8,10,12,25
先死	14,17
先派	17
先溜来	11
先灵	7
先烈	31
先父	3,14,19
先王	1,7,12,17,25,31
先生	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,28,29,30,31,32
先用	11,22,31
先皇	12,29
先看	25
先知	3,6,9,10,19,21,22,23,25,27,31
先破誓	19
先礼后兵	10,32
先祖	2,10,29
先给	2,13,14
先行	24,30,32
先要	1,9,12,15,16,23,28
先见	21
先见之明	21
先说	4,9,15,27,31
先请	8,10,20,26,29
先读	3,20,32
先赛	7
先走一步	1,7,18,21,23,25,30,31
先进	13
先锋	2,7,19,31
先降	5
先香	17
先驱	6,7,15,19,20,28
先驱者	28
先验	18
光	0,5,6,7,9,10,12,13,14,15,17,18,28,30,31,32
光临	3,4,5,6,8,10,12,13,14,19,20,21,26,29,31
光亮	1,6,12,13,19,21,22,24,31
光光	3,14,31,32
光华	3
光复	31
光大	29
光天化日	8,13,17,19,22,23,26,27,29,32
光头	11,23
光彩	1,2,3,5,7,8,10,11,12,16,17,18,19,21,22,26,27,28,29,30,32
光明	1,3,4,5,6,7,8,10,11,12,13,14,15,17,18,19,21,22,23,25,26,27,29,30,31,32
光明正大	5,6,7,8,10,11,12,13,18,21,23,25,26,30
光明磊落	11,13,26,29
光景	2,3,12,17,24,25,31,32
光有	15
光杆	1
光杆儿	1
光来	1,23,30
光棍	1,13,23,30
光泽	6,13,14
光流	4,15
光润	9,11
光溜	23
光溜溜	23
光滑	2,7,15
光焰	24
光照	12
光着	1,9,14,31
光着头	1,9,31
光秃	2,9,20,27
光秃秃	2,9,20
光箭	19
光线	31
光艳	19
光芒	1,4,6,9,10,17,19,24,25,27,29,31,32
光芒万丈	17
光荣	0,1,2,3,4,5,6,7,8,10,11,12,13,16,17,19,21,22,23,24,25,26,27,29,30,31,32
光荣牺牲	31
光蛋	1,6,13,14,18,19,23,31
光辉	0,1,3,5,6,7,8,10,12,13,20,21,24,25,27,29,31,32
光辉夺目	24
光辉灿烂	31
光采	7,24
光针	15
光闪闪	24,31
光阴	0,1,5,6,10,11,12,17,19,23,27
光降	1,8,13,21,22
克	15,17,19,25,26,29,31
克丽丝	0,16,29
克丽西	16
克享	12
克伦	20
克伦威尔	24
克俭	13
克兰	24
克列	31,32
克列福	25,31
克利	14,25
克利斯	14,25
克制	2,11,14,20,23,24,25,26,31
克制不住	23
克劳	7,14,23,29,30,32
克劳德	14
克劳狄	7,23,29,30,32
克勒	1,2,6,7,10,12,15,16,17,19,30,31
克勒斯	1,2,6,7,10,12,15,16,17,19,30,31
克勤克俭	13
克塞诺	21
克奏肤功	20
克尔	1,4,26,31
克尔斯	4
克尼陀斯	32
克尽	1,2
克己	31
克扣	31
克拉	10,17,23,28
克拉苏	10,23
克擦	15
克敌	2
克敌制胜	2
克斯	1,2,8,10,12,17,19,22,24,25,26,27,28,29,31,32
克斯伯爵	17
克星	18
克服	6,7,12,13,16,19,31,32
克朗	3,7,13,14,23
克来勃	11
克洛斯	1,25
克洛顿	12
克特	17,20
克瑞西	0,3,6,17,19,21
克累利	3
克绍家声	27
克绍箕裘	3,11
克绳	29
克罗	21,24,31
克罗斯	21
克莉	5
克莉奥	10,12,16
克莱	1,17,25,31
克莱特	17
克逊	6,17,18
克郎	1,19,27
克里	1,4,8,15,17,31
克里奥	4
克里斯	8,17
克里特	15,17,31
克里特岛	17,31
免	0,1,2,9,16,23,31
免不了	1,2,3,4,5,6,7,8,10,12,17,19,20,22,23,26,27,28,29,31,32
免不得	16
免予	6
免于	12,27
免于一死	12,27
免冠	8,24
免动	9
免却	28
免去	2,6,10,12,19,26,27
免受	23,31
免开尊口	6,21,31
免役	1
免得	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,30,31,32
免掉	31
免死	23
免罪	6,16
免职	10,26
免脱	15
免除	1,12,17,19,27,28
免难	23
兔子	0,1,2,5,10,14,16,19,21,22,31
兔崽子	18
兔肉	5
党	3,31
党同伐异	2,25
党徒	1,2,5,10,20,27,29,31,32
党派	21,31
党羽	2,22,25,27,29,31
兜	3,19,20
兜儿	11
兜圈	18,22
兜圈子	18,22
兜销	31
入	3,17,21,29,31
入于	22
入云	28
入伍	2
入伙	10
入侵	17,31
入内且	2
入口	3
入味	3
入土	5,6,7,8,12,17,25,29,32
入地无门	10
入场	9,21
入城	31
入境	9,14
入学	25
入定	8
入帐	25
入席	8,13,14,24
入座	6,24
入微	25
入情入理	21
入时	9
入朝	7
入梦	1
入殓	29
入法	8
入海	25
入火	21
入狱	25,31
入理	21
入界	10
入眼	25
入睡	1,2,5,9,12,15,20,22,25,26,28,29,31
入耳	1,11,12,23
入迷	24
入门	5
入骨	20,22,24,25,28,31
全	1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,30,31
全不	0,1,18,28,31
全不像	16
全不入	15
全不在	17
全不懂	0
全世界	0,1,2,3,4,5,6,7,8,10,12,13,16,17,18,19,20,21,24,27,29,30,31,32
全买	4
全亏	24,30
全人	1,10
全人类	1,10
全仗	23
全会	31
全体人员	1
全体会议	24
全军	1,2,4,10,12,17,21,22,26,31,32
全军覆没	4,26
全凭	6
全刃	10
全剧	7,15
全副	0,1,4,6,7,17,19,20,22,24,25,26,27,28,29,30,31
全副武装	1,20,31
全力	1,12,21,22,23,30,32
全去	0,12
全句	26
全叫	17
全园	26
全国	1,3,4,7,8,10,12,17,20,22,24,25,27,29,31
全国上下	24
全在	4,17,24,28
全场	7,15,25
全城	2,5,8,10,17,23,30,31
全境	8,10,24,31,32
全失	8
全始全终	10
全完	10,12,13,29
全家	29
全寺	24
全寺僧	24
全局	10,21
全岛	26
全市	12,25,26
全师	30
全废	25
全归	7
全得	12,17,19
全德	26
全心	15,19,24,27,28,29
全心全意	24,28
全忘	18
全意	24,28
全打错	31
全找	16
全擦	14
全数	19,27
全文	7
全无	0,1,18,20,29
全无地	27
全无心肝	20
全是	1,3,5,10,13,14,17,18,20,21,22,23,24,27,29,31
全是真话	31
全有	10,17,31
全杀	17
全权	3,10,12,17,18,20,23,26,31
全权代表	23
全权处理	17,31
全来	31
全消	15
全然	0,1,2,4,5,7,8,9,10,11,12,13,15,16,19,20,21,22,23,26,27,28,32
全然不知	4,20
全然不顾	0
全牛	21
全瓶	28
全用	18,31
全由	17
全盘	1
全盛	32
全看	10
全神	0,1,4
全神贯注	0,1,4
全给	0,9,25,31
全胜	1,2,5,10,31
全能	3,17,19,31
全花光	0
全营	3,10,21,26
全让	1,14
全讲	17
全说	31
全貌	0
全赖	21,23,26
全身	1,2,4,5,7,8,9,10,12,13,15,17,18,19,20,21,22,25,26,27,28,29,30,31
全逃	1
全部内容	24
全都	0,1,2,3,4,7,8,9,10,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31
全队	1
全非	25
全靠	1,8,17,25,31
全面	10,25,31
全额	7
八丈	19
八下	30
八世	24
八两	1,15,17,21,23
八个	1,15,17,20,22,26,31
八九	3,6,7,30
八九分	3,6
八九年	7
八人	22
八倍	27
八六体	15
八分	4
八十	1,4,6,13,16,18,20,23,25
八十三	4
八十三岁	4
八十个	1
八十块	6
八十多	18,20,25
八十多岁	18,20
八十多年	25
八十岁	13,16
八十年	20
八千	5,17,27
八千里	5
八口	10
八哥	6
八字	0,9
八字步	0
八岁	2,9
八年	1,16,27
八成	31
八方	6,21,23,24,31
八月	17,28,31
八条	5,11,17
八次	1,2
八点	0,18,23,24,32
八点钟	0,18,23,24,32
八百	17
八码	1
八脚	23
八艘	27
八道	0,1,2,4,5,6,7,11,14,17,18,19,21,26,28,30,31,32
八音	15
八音节	15
八龟子	13
公	6,19,25,31
公一母	5
公主	0,1,4,8,12,17,19,20,24,25,28,29
公举	29
公义	13
公之	1,13
公之于众	2,21
公事	1,20,24,26,29,31
公享	31
公众	2,9,10,13,22,24,31
公侯	25
公侯之	25
公允	23,25
公元	2,3,10,17,19,29,31,32
公元前	2,10,17,19,29,31,32
公公	1
公共	2,6,10,31,32
公函	7
公务	23
公卿	3,17,25,31
公吗	31
公园	18,31
公国	16,17,28
公地	31
公堂	25
公子	0,1,3,5,6,7,8,12,14,16,20,27,29,30,31
公子哥	5,12,14,30,31
公子哥儿	5,12,14,30,31
公子爷	1,12
公子王孙	8
公室	31
公家	6,23,26,32
公差	1,7,31
公布	0,19,24
公干	4,24
公平	6,7,9,10,14,16,17,22,24,27,29,32
公平交易	24
公平合理	17
公库	6
公座	1
公开	1,2,3,4,7,8,9,12,18,19,21,23,24,25,30,31,32
公式	5
公意	2,29
公愤	8,26
公敌	2,22,25,26,31
公文	7,18,23,24,26
公文袋	24
公断	3,7,31
公是	25,31
公有	25,31
公款	1
公正	1,4,5,6,7,8,10,12,17,20,23,24,25,27,28,29,30,31,32
公正不阿	24
公正处理	25
公正无私	23
公民	5,6,23,31
公然	1,2,7,8,9,10,16,17,19,20,22,23,26,27,29,31
公然侮辱	29
公然反抗	1,2
公爵	0,1,3,6,7,9,11,14,15,16,17,18,19,20,23,24,25,26,27,28,30,31
公爵夫人	15,20,24,25,27,30,31
公爷	31
公牛	1,4,14,15,18,21,28,29,30,31
公狮	15
公理	1,21,31
公的	14,25,31
公的母	4
公羊	6,16
公认	1,2,5,10,12,16,19,21,23,26,30,31
公讲	31
公论	2,27
公证	6,18,26
公证人	6,18,26
公贤卿	31
公路	1,14
公道	1,2,3,4,5,6,7,9,13,20,21,23,24,26,27,29,31
公道话	1,24,31
公馆	18,31
公鸡	11,12,14,16,23,28
公鹿	7,16,18,19,29
六七	1,8,9,18,24,25,32
六七个	1,18,32
六七千	25
六七岁	8
六七杯	24
六万	17
六万个	17
六世	3,17,25,31
六个	1,2,3,4,5,8,9,10,11,13,16,17,20,21,24,25,26,27,31
六个月	3,9
六件	2,20
六份	6
六位	1
六便士	0,1,9,15,18,30
六分	12,24
六分之一	12,24
六匹	7
六十	0,1,7,10,21,26,28,30,31
六十九	21
六十二	31
六十二年	31
六十岁	30
六十年	0
六十里	28
六千	3,6,16,17,31
六千两	17
六千人	31
六千名	31
六千块	6
六千年	16
六哩	12
六哩路	24
六场	2,3,5,6,7,8,10,11,12,13,16,17,18,20,21,22,23,25,27,31
六处	10
六天	20
六头	28
六子	31
六岁	2,4,13
六年	4,17,24,27,31
六日	30
六月	1,10
六条	11
六次	14,21
六点	6,12,19,28
六点钟	6,12,19,28
六百	17
六神	31
六神无主	31
六种	1,19
六章	0,25,29
六腑	17
兰	6,7,16,27,31
兰克	6,24
兰开斯	1,25,27,31
兰开斯特	1,25,27,31
兰德	3,18,24,31
兰斯	8,17,27,31
兰特	1,23
兰纳	2
兰纳夏甲	6
兰纳斯	2,29
兰纳斯上	2
兰纳斯之母	2
兰纳斯作	2
兰纳斯及	2
兰纳斯忙	2
兰纳斯来	2
兰纳斯重	2
兰花	12,17
兰西	1,3,5,7,12,15,17,18,19,20,23,27,28,30,31
兰雷	27
兰顿	24,25
共	1,3,8,11,31
共享	25,31
共体	27
共同	1,2,6,7,9,14,17,19,20,21,22,24,25,26,31
共同之处	24
共同完成	17
共和	2,17,27,28,32
共和国	2,17,27,28,32
共处	4,12
共有	5,15,18,25,26
共枕同	7
共欠	23
共济	31
共睹	12,24
共织	8
共缔	16
共舞	13
共苦	9,26
共襄盛举	25
共诉	25
共语	10
共谋	25
共鸣	29
关	0,1,2,5,6,9,11,12,13,14,16,18,20,21,23,26,29,30,31
关上	0,1,2,5,10,12,20
关上门	5
关了	5,16,31
关了门	5,31
关住	9,21
关切	1,2,4,8,10,11,17,21,25,30
关到	23,31
关口	1,17,20
关在	2,3,9,18,20,23
关头	1,2,6,10,19,22,29,31,32
关得	9
关心	0,1,2,3,4,7,11,13,19,20,22,23,24,27,29,31,32
关怀	8,17,24,27,31
关注	28
关涉	16
关照	6,11,14,17,20,23
关着	24
关禁	4,7,25
关系	0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32
关紧	1,6,9,16,24,31
关节	27,31
关起	4,8,16
关起门来	4,8,16
关进	3,24,25,31
关进牢	31
关连	27
关锁	1
关键	1,25
关闭	5,10,22,28,31
兴	2,13
兴亡	31
兴兵	7,25,31
兴味	1,7
兴哀	12
兴奋	1,2,5,12,20,21,26,28,32
兴奋剂	5
兴师	8,10,20,27,29,31
兴师动众	27,31
兴师问罪	20
兴建	31
兴旺	17,31
兴来	25
兴致	1,3,4,5,6,7,8,9,12,13,14,15,19,22,24,25,26,27,32
兴致勃勃	25
兴起	1,4,10,16,20,28,31
兴趣	3,7,8,14,16,21,26,28,31
兴阑人散	8
兴隆	24
兴雷作	23
兴风作浪	31
兴高彩烈	8,22
兴高采烈	1,7,10,17,21,25,26
兵	1,3,8,12,17,21,22,26,31
兵丁	1,17,31
兵上	2
兵不血刃	27
兵临	2,22
兵临城下	22
兵书	17
兵刃	3,13,29
兵力	10,17,25,31
兵卒	25,32
兵员	1,12
兵器	20,21,27,29,31
兵团	25
兵士	1,2,3,4,5,6,7,8,10,12,13,17,18,19,20,21,22,23,25,27,29,30,31,32
兵家	31
兵役	1,17
兵戎	1,10,31
兵戎相见	1,10,31
兵权	26
兵法	17,21
兵祸	12
兵荒马乱	17
兵连祸结	3
兵队	12
兵额	12
兵马	25,31,32
其下	28
其为	16,19
其主必	13
其事	1,3,5,16,24,25,26,30
其人	3,11,14,16,17,20,23,25,26,27,31
其仆	13
其他人	9,24,31
其份	14
其像	15
其内	1,10,14,25
其利	10
其势	7
其吁告	29
其名	11
其后	15,22,25,28,29
其味	21
其地	24
其声	19
其处	15
其头	20
其女	7,29
其妻	3,12,15
其子	2,4,6
其实	1,2,4,6,8,9,10,11,12,13,14,15,16,17,19,20,21,23,24,25,26,27,28,30,31,32
其寒	16
其平	22
其弟	7,16
其形	25
其情	19
其惠	19
其意	17
其愚	3
其手	28
其敬	4
其时	1,4,8,19
其殃	18
其母	7
其毒	12
其火	31
其父	2,5
其牙	16
其状	19
其瓶	28
其痴劲	16
其目	3
其知	19
其确	12
其端	4
其罪	27
其职	17
其舌	29
其苦	4
其行	12
其详	2
其远	31
其速	6
其间	4
其霉	1,13,15
其面	3
其马	5
具	12,25
具体	10,17,23
具体意见	17
具体而微	17
具保	27
具备	1,3,7,8,10,11,17,19,24
具文	23
具有	0,2,10,15,16,17,19,20,22,24,28,31
具来	25
具结	7
典	11
典型	7,8
典押	31
典故	6
典狱	1
典狱长	1
典礼	0,1,3,15,24,25,27,31
典籍	8
典质	11
典雅	16,19
兹	16,31
养	0,1,3,4,5,7,11,13,20,21,23,26,30,31
养一	1
养下	13
养不出	24
养养	12
养出	17,24,31
养到	8
养大	8,30
养女	3
养家	6
养得	8,16,20
养志	14
养息	3,4,11
养成	2,7,12,21
养活	3,10,13,31
养猪	25
养病	31
养着	1,16
养老	16
养肥	4
养育	8,10,19,28,29
养起	4
养身	17
养过	11
养逆	7
兼	2,9,18,23,24,25,31
兼任	31
兼作	0
兼充	23
兼利	2
兼及	12
兼古德立	31
兼备	12,24
兼并	17
兼收	27
兼有	7
兼瓦虚福及	31
兼白	31
兼程	1,10,25,31
兼程前进	10,31
兼而有之	21
兼联捷	31
兼舍菲	31
兼领	22,24,27,31
兽	21,25,31
兽心	31
兽性	1,13
兽欲	6,7,13,16,23
兽类	13
兽行	1
内一	31
内乱	10,20,22,32
内人	9
内伤	1
内侄	5
内侍	1
内到	23,25
内助	10
内厅	3
内后	10
内吹退	20
内呼	5
内在	27
内地	1
内声	24
内外	13,18,31
内奏	12,31
内室	24,25,31
内宫	24
内容	1,5,11,12,17,19,24,27
内尔	17
内幕	23,31
内干	30
内应	3
内府	27
内廷	27
内心	1,5,6,7,8,10,11,12,21,22,23,25,26,27,28,29,30,31,32
内情	8
内战	1,17,31
内满	13
内疚	19
内白	31
内脏	3,32
内行	24
内衣	12,31
内讧	2,12,31
内起	3,10,31
内部	1,7,20,27,30,31
冈	0,30
册子	1,24,30
册封	22,25
册籍	2,27
再三	6,8,13,21,23,25,26,30
再下	6,14,22
再不去	0,14
再世	6,8
再举	19
再也	0,1,2,3,4,5,6,7,8,9,10,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
再也不会	1,2,5,6,7,8,10,12,13,18,19,20,22,24,26,28,29,30,31,32
再也不能	4,6,15,18,20,22,29,31
再事	8
再享	12
再会	0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32
再住	4
再作	1,5,7,12,24,26,31
再作道理	1,20
再倍	6
再出	4
再到	27
再刻	27
再办	3
再加	0,4,6,16
再同	7
再响	20
再噜	18,28
再堆	8
再多	9,15,19,22,28
再多住	9
再多来	19
再多留	22
再多言	15
再多话	28
再大	5,31
再大些	14
再奏	12,26,27
再好	1,6,7,8,10,11,12,13,14,16,18,20,21,23,32
再好不过	6,18
再好没有	1,6,7,8,10,11,12,13,14,16,18,20,21,23,32
再娶	4,10,11
再婚	3
再嫁	7
再学	13
再害	1
再寄	0
再射	30
再射出	6
再少	31
再差	28
再度	1,2,3,8,24,25,31
再开	4,24
再引	15
再弹	25
再念	3,7,11,17,19,24
再怕	12
再拉着	6
再拿些	1,26
再振	2
再接	8,31
再接再厉	1,10,17
再放	9,16,32
再教	6
再敢	4,26
再敬莱必	10
再显	17
再来	0,1,3,5,6,7,12,13,14,16,17,18,19,23,24,25,26,29,30,31
再来一个	16,26
再次	17,24
再活	1,4,16,25,26
再涉	8
再添	17
再演	15
再烦	20,28
再版	18
再犯	5,19
再现	16,25
再生	13,31
再用	2,4,6,10,11,18,19,21,22,27,31
再留	4
再立	6
再絮渎	13
再编	1
再美	14
再能	16
再花	31
再莫恋	16
再行	27,30,31
再要	2,4,13,14,16,22
再见	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,30,31,32
再见面	15
再试	16,18
再试一下	7
再说下去	1,2,5,8,10,14,16,19,21,23,24,28
再读	1
再谈	3,6,11,12,14,19,20,22,26,31
再费	6
再赌	6
再赏	0,28
再赔	25
再起	18
再进	13,28
再进一步	12
再远	0
再造	8
再造之恩	8
再长	4,19,21
再降	13
冒充	3,7,8,14,16,18,23,30,31
冒冒	1,18,26
冒冒失失	1,18,26
冒名	9
冒名顶替	9
冒多大	12
冒失	1,18,26,30
冒头	31
冒昧	3,5,7,8,10,14,16,18,21,22,23,24,25,26,31,32
冒死	9
冒渎	1,6,28,32
冒火	9,18
冒烟	3,12
冒牌	1,3,4,11,12,14,15
冒牌货	3
冒犯	0,1,2,4,5,6,14,16,17,18,20,23,24,25,26,30,31
冒用	1
冒着危险	0
冒血	21
冒认	30
冒进	24
冒险	0,1,2,3,5,6,7,11,12,15,16,23,24,25,26,31,32
冒雨	17,20
冕	24
冕安	31
冕服	27
冗烦	5
冗长	6,7,12,15,27
写	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32
写下	1,3,6,7,11,15,17,18,19,20,21,27,29,30,31,32
写下去	3
写些	0,1,3,7,13,16,19,29,30
写会念	31
写信	1,3,4,5,10,11,12,18,20,23,29,30,31,32
写信给	3,4,5,11,12,20,23,30
写出	20,31
写字	0,5,7,12,29,30
写封信	31
写得	0,19
写惯	30
写成	1,5,7,13,15,19,31
写文章	12,16
写明	1,5,6,11,12,24
写来	1,20,21
写法	6,7,16
写满	1,19,30
写给	0,2,3,6,7,10,11,16,18,19,20,21,24,29,31,32
写诗	18,19
写过	4
写错	14
军	1,3,12,13,17,21,22,25,30,31
军中	1,2,3,10,20,21,22,25
军乐	1,7
